,Week_Of,Mon,Tue,Wed,Thu,Fri
363,2002 Oct-28 to Nov- 1,4.16,4.20,4.34,4.39,4.07
364,2002 Nov- 4 to Nov- 8,3.94,3.90,3.92,3.90,3.76
365,,,,,,
366,2002 Nov-11 to Nov-15,3.83,3.83,3.83,3.90,3.92
367,2002 Nov-18 to Nov-22,4.18,4.25,4.27,4.24,4.32
368,2002 Nov-25 to Nov-29,4.34,4.23,4.19,,
369,2002 Dec- 2 to Dec- 6,4.23,4.35,4.24,4.35,4.39
370,2002 Dec- 9 to Dec-13,4.32,4.40,4.63,4.81,5.05
371,,,,,,
372,2002 Dec-16 to Dec-20,5.31,5.13,4.98,5.14,5.05
373,2002 Dec-23 to Dec-27,5.03,5.03,,4.98,4.81
374,2002 Dec-30 to Jan- 3,4.74,4.59,,4.93,5.13
375,2003 Jan- 6 to Jan-10,4.94,4.89,5.07,5.05,5.19
376,2003 Jan-13 to Jan-17,5.23,5.25,5.21,5.50,5.66
377,,,,,,
378,2003 Jan-20 to Jan-24,,5.47,5.72,6.55,5.91
379,2003 Jan-27 to Jan-31,5.91,5.52,5.61,5.76,5.58
380,2003 Feb- 3 to Feb- 7,5.71,6.26,6.22,6.08,6.30
381,2003 Feb-10 to Feb-14,6.35,6.19,6.19,5.81,5.88
382,2003 Feb-17 to Feb-21,,6.09,6.10,6.38,6.73
383,,,,,,
384,2003 Feb-24 to Feb-28,11.98,18.48,10.47,8.42,10.81
385,2003 Mar- 3 to Mar- 7,8.51,7.71,7.80,7.57,7.42
386,2003 Mar-10 to Mar-14,6.78,6.25,5.80,5.71,5.17
387,2003 Mar-17 to Mar-21,5.32,5.13,5.20,5.20,5.05
388,2003 Mar-24 to Mar-28,5.07,5.07,4.90,4.87,5.06
389,,,,,,
390,2003 Mar-31 to Apr- 4,5.01,4.90,4.89,4.91,4.86
391,2003 Apr- 7 to Apr-11,4.98,5.21,5.11,5.18,5.28
392,2003 Apr-14 to Apr-18,5.29,5.53,5.62,5.54,
393,2003 Apr-21 to Apr-25,5.55,5.58,5.58,5.46,5.39
394,2003 Apr-28 to May- 2,5.30,5.12,5.25,5.32,5.24
395,,,,,,
396,2003 May- 5 to May- 9,5.36,5.64,5.49,5.65,5.73
397,2003 May-12 to May-16,5.91,5.98,6.17,6.24,5.96
398,2003 May-19 to May-23,6.08,5.93,6.08,6.09,5.92
399,2003 May-26 to May-30,,5.84,5.71,5.76,5.99
400,2003 Jun- 2 to Jun- 6,6.22,6.25,6.40,6.17,6.25
401,,,,,,
402,2003 Jun- 9 to Jun-13,6.25,6.08,6.06,5.86,5.44
403,2003 Jun-16 to Jun-20,5.45,5.66,5.53,5.53,5.68
404,2003 Jun-23 to Jun-27,5.89,5.84,5.64,5.49,5.19
405,2003 Jun-30 to Jul- 4,5.31,5.22,5.05,4.96,
406,2003 Jul- 7 to Jul-11,5.20,5.40,5.56,5.40,5.22
407,,,,,,
408,2003 Jul-14 to Jul-18,5.15,5.17,5.00,4.96,5.01
409,2003 Jul-21 to Jul-25,5.11,5.04,4.88,4.86,4.68
410,2003 Jul-28 to Aug- 1,4.68,4.72,4.68,4.63,4.71
411,2003 Aug- 4 to Aug- 8,4.81,4.71,4.74,4.85,5.02
412,2003 Aug-11 to Aug-15,5.08,5.06,5.17,5.10,4.83
413,,,,,,
414,2003 Aug-18 to Aug-22,4.94,4.99,5.03,5.14,5.24
415,2003 Aug-25 to Aug-29,5.26,5.09,5.11,4.94,4.86
416,2003 Sep- 1 to Sep- 5,,4.62,4.68,4.70,4.76
417,2003 Sep- 8 to Sep-12,4.82,4.70,4.78,4.85,4.66
418,2003 Sep-15 to Sep-19,4.66,4.67,4.61,4.52,4.33
419,,,,,,
420,2003 Sep-22 to Sep-26,4.38,4.51,4.58,4.55,4.42
421,2003 Sep-29 to Oct- 3,4.57,4.66,4.47,4.42,4.34
